Oscilloscope Data File
Experiment Time :   13-12-2016 08:53:42
Number of frames: 46666

Module: E-14-140M (1D905555)

Number Of Channels : 8
Input Rate In kHz: 22.222221
Input Time In Sec: 2.099970
Decimation: 100
Number of frames after Decimation: 466
Data Format: Calibr
Time markers scale: ñåêóíäû
GPS time=00:00:00 00-00-0000
GPS latitude=, latitude h=0
GPS longitude=, longitude h=0
Segments: 1
Data as Time Sequence:
                    Ch  1      Ch  5      Ch  6      Ch  7      Ch  8  
                 ÑÂÄ,       ÐÊ 1,      ÐÊ 2,      ÐÊ 3,      ÐÊ 4,     
        1.953 ,       280,       113,       110,       100,        83
        1.958 ,       280,       113,       110,       100,        83
        1.962 ,       280,       113,       110,       100,        82
        1.967 ,       280,       113,       110,       100,        82
        1.971 ,       282,       113,       110,       100,        83
        1.976 ,       282,       113,       110,       100,        82
        1.980 ,       281,       113,       110,       100,        82
        1.985 ,       281,       113,       110,       100,        82
        1.989 ,       281,       113,       110,       100,        82
        1.994 ,       281,       113,       110,        99,        82
        1.998 ,       280,       113,       110,       100,        83
        2.003 ,       280,       113,       110,        99,        83
        2.007 ,       280,       113,       110,       100,        82
        2.012 ,       280,       113,       110,        99,        83
        2.016 ,       281,       113,       110,        99,        83
        2.021 ,       280,       113,       110,       100,        82
        2.025 ,       280,       113,       110,       100,        82
        2.030 ,       280,       113,       110,       100,        82
        2.034 ,       280,       113,       110,       100,        83
        2.039 ,       280,       113,       110,        99,        82
        2.043 ,       280,       113,       110,        99,        83
        2.048 ,       280,       113,       110,       100,        82
        2.052 ,       280,       113,       110,       100,        82
        2.057 ,       280,       113,       110,        99,        82
        2.061 ,       280,       113,       110,       100,        82
        2.066 ,       280,       113,       110,       100,        82
        2.070 ,       282,       113,       110,       100,        82
        2.075 ,       282,       113,       110,        99,        83
        2.079 ,       281,       113,       110,        99,        83
        2.084 ,       281,       113,       110,       100,        82
        2.088 ,       280,       113,       110,       100,        82
        2.093 ,       280,       113,       110,        99,        82
        2.097 ,       280,       113,       110,       100,        82
