Oscilloscope Data File
Experiment Time :   16-12-2016 01:36:30
Number of frames: 174489

Module: E-14-140M (1D905555)

Number Of Channels : 10
Input Rate In kHz: 18.181818
Input Time In Sec: 9.596895
Decimation: 100
Number of frames after Decimation: 1744
Data Format: Calibr
Time markers scale: ñåêóíäû
GPS time=00:00:00 00-00-0000
GPS latitude=, latitude h=0
GPS longitude=, longitude h=0
Segments: 1
Data as Time Sequence:
                    Ch  1      Ch  2  
                 ÑÂÄ,       ÑÑÄ,      
        3.663 ,       249,       251
        3.669 ,       249,       251
        3.674 ,       250,       251
        3.680 ,       248,       251
        3.685 ,       249,       251
        3.691 ,       249,       251
        3.696 ,       250,       251
        3.702 ,       248,       251
        3.707 ,       248,       251
        3.713 ,       249,       251
        3.718 ,       249,       251
        3.724 ,       248,       251
        3.729 ,       249,       251
        3.735 ,       249,       251
        3.740 ,       250,       251
        3.746 ,       247,       251
        3.751 ,       249,       251
        3.757 ,       249,       251
        3.762 ,       249,       251
        3.768 ,       249,       251
        3.773 ,       248,       251
        3.779 ,       248,       251
        3.784 ,       250,       251
        3.790 ,       250,       251
        3.795 ,       247,       251
        3.801 ,       248,       251
        3.806 ,       249,       251
        3.812 ,       249,       251
        3.817 ,       248,       251
        3.823 ,       248,       251
        3.828 ,       249,       251
        3.834 ,       249,       251
        3.839 ,       249,       250
        3.845 ,       248,       251
        3.850 ,       248,       251
        3.856 ,       249,       251
        3.861 ,       250,       251
        3.867 ,       247,       251
        3.872 ,       249,       251
        3.878 ,       249,       251
        3.883 ,       249,       251
        3.889 ,       250,       251
        3.894 ,       248,       251
        3.900 ,       248,       251
        3.905 ,       249,       251
        3.911 ,       249,       250
        3.916 ,       247,       251
        3.922 ,       249,       251
        3.927 ,       249,       251
        3.933 ,       250,       251
        3.938 ,       250,       250
        3.944 ,       248,       251
        3.949 ,       248,       251
        3.955 ,       249,       251
        3.960 ,       250,       251
        3.966 ,       248,       251
        3.971 ,       248,       251
        3.977 ,       249,       251
        3.982 ,       249,       251
        3.988 ,       249,       251
        3.993 ,       248,       251
        3.999 ,       249,       251
        4.004 ,       250,       251
        4.010 ,       249,       251
        4.015 ,       248,       251
        4.021 ,       249,       251
        4.026 ,       249,       251
        4.032 ,       250,       251
        4.037 ,       248,       251
        4.043 ,       248,       251
        4.048 ,       249,       251
        4.054 ,       250,       251
        4.059 ,       249,       251
        4.065 ,       248,       251
        4.070 ,       248,       251
        4.076 ,       249,       251
        4.081 ,       250,       251
        4.087 ,       248,       251
        4.092 ,       248,       251
        4.098 ,       249,       251
        4.103 ,       249,       251
        4.109 ,       250,       251
        4.114 ,       247,       251
        4.120 ,       248,       251
        4.125 ,       249,       251
        4.131 ,       249,       251
        4.136 ,       250,       251
        4.142 ,       249,       251
        4.147 ,       249,       251
        4.153 ,       249,       251
        4.158 ,       249,       250
        4.164 ,       247,       251
        4.169 ,       248,       251
        4.175 ,       248,       251
        4.180 ,       249,       251
        4.186 ,       250,       250
        4.191 ,       248,       251
        4.197 ,       248,       251
        4.202 ,       249,       251
        4.208 ,       249,       251
        4.213 ,       250,       251
        4.219 ,       249,       251
        4.224 ,       249,       251
        4.230 ,       249,       251
        4.235 ,       250,       251
        4.241 ,       248,       251
        4.246 ,       248,       251
        4.252 ,       249,       251
        4.257 ,       249,       251
        4.263 ,       250,       251
        4.268 ,       248,       251
        4.274 ,       248,       251
        4.279 ,       249,       251
        4.285 ,       250,       251
        4.290 ,       247,       251
        4.296 ,       249,       251
        4.301 ,       249,       251
        4.307 ,       249,       251
        4.312 ,       250,       251
        4.318 ,       249,       251
        4.323 ,       248,       251
        4.329 ,       249,       251
        4.334 ,       250,       250
        4.340 ,       248,       251
        4.345 ,       248,       251
        4.351 ,       249,       251
        4.356 ,       249,       251
        4.362 ,       248,       250
        4.367 ,       248,       251
        4.373 ,       249,       251
        4.378 ,       249,       251
        4.384 ,       250,       251
        4.389 ,       248,       251
        4.395 ,       248,       251
        4.400 ,       249,       251
        4.406 ,       249,       251
        4.411 ,       250,       251
        4.417 ,       248,       251
        4.422 ,       248,       251
        4.428 ,       249,       251
        4.433 ,       250,       250
        4.439 ,       249,       251
        4.444 ,       249,       251
        4.450 ,       248,       251
        4.455 ,       249,       251
        4.461 ,       249,       251
        4.466 ,       248,       251
        4.472 ,       248,       251
        4.477 ,       249,       251
        4.483 ,       250,       251
        4.488 ,       250,       251
        4.494 ,       248,       251
        4.499 ,       248,       251
        4.505 ,       249,       251
        4.510 ,       250,       250
        4.516 ,       247,       251
        4.521 ,       249,       251
        4.527 ,       249,       251
        4.532 ,       249,       251
        4.538 ,       250,       251
        4.543 ,       248,       251
        4.549 ,       248,       251
        4.554 ,       249,       251
        4.560 ,       249,       251
        4.565 ,       249,       251
        4.571 ,       249,       251
        4.576 ,       249,       251
        4.582 ,       249,       251
        4.587 ,       249,       251
        4.593 ,       247,       251
        4.598 ,       248,       251
        4.604 ,       249,       251
        4.609 ,       249,       251
        4.615 ,       249,       251
        4.620 ,       249,       251
        4.626 ,       249,       251
        4.631 ,       249,       251
        4.637 ,       249,       251
        4.642 ,       248,       251
        4.648 ,       248,       251
        4.653 ,       249,       251
        4.659 ,       250,       250
        4.664 ,       247,       251
        4.670 ,       249,       251
        4.675 ,       249,       251
        4.681 ,       249,       251
        4.686 ,       250,       251
        4.692 ,       247,       251
        4.697 ,       248,       251
        4.703 ,       249,       251
        4.708 ,       249,       251
        4.714 ,       250,       251
        4.719 ,       249,       251
        4.725 ,       248,       251
        4.730 ,       249,       251
        4.736 ,       249,       250
        4.741 ,       248,       251
        4.747 ,       248,       251
        4.752 ,       249,       251
        4.758 ,       250,       251
        4.763 ,       247,       251
        4.769 ,       249,       251
        4.774 ,       249,       251
        4.780 ,       249,       251
        4.785 ,       250,       251
        4.791 ,       249,       251
        4.796 ,       247,       251
        4.802 ,       248,       251
        4.807 ,       247,       250
        4.813 ,       242,       251
        4.818 ,       244,       250
        4.824 ,       242,       249
        4.829 ,       243,       248
        4.835 ,       239,       246
        4.840 ,       238,       246
        4.846 ,       233,       242
        4.851 ,       233,       241
        4.857 ,       226,       236
        4.862 ,       219,       235
        4.868 ,       219,       231
        4.873 ,       211,       231
        4.879 ,       209,       224
        4.884 ,       201,       217
        4.890 ,       201,       217
        4.895 ,       193,       210
        4.901 ,       193,       210
        4.906 ,       185,       203
        4.912 ,       185,       203
        4.917 ,       177,       194
        4.923 ,       167,       195
        4.928 ,       168,       188
        4.934 ,       160,       188
        4.939 ,       160,       179
        4.945 ,       151,       172
        4.950 ,       153,       172
        4.956 ,       142,       165
        4.961 ,       143,       165
        4.967 ,       137,       158
        4.972 ,       129,       157
        4.978 ,       129,       150
        4.983 ,       122,       150
        4.989 ,       123,       145
        4.994 ,       116,       139
        5.000 ,       115,       138
        5.005 ,       108,       130
        5.011 ,       108,       130
        5.016 ,       100,       124
        5.022 ,       100,       125
        5.027 ,        94,       118
        5.033 ,        88,       118
        5.038 ,        87,       111
        5.044 ,        81,       111
        5.049 ,        81,       104
        5.055 ,        74,        98
        5.060 ,        75,        98
        5.066 ,        68,        91
        5.071 ,        69,        91
        5.077 ,        62,        84
        5.082 ,        55,        85
        5.088 ,        55,        77
        5.093 ,        49,        77
        5.099 ,        50,        71
        5.104 ,        42,        63
        5.110 ,        43,        63
        5.115 ,        36,        58
        5.121 ,        36,        57
        5.126 ,        30,        50
        5.132 ,        29,        50
        5.137 ,        23,        44
        5.143 ,        16,        44
        5.148 ,        16,        38
        5.154 ,        10,        38
        5.159 ,        10,        31
        5.165 ,         5,        25
        5.170 ,         5,        25
        5.176 ,         2,        19
        5.181 ,         3,        18
        5.187 ,         2,        12
        5.192 ,         1,        12
        5.198 ,         3,         5
        5.203 ,         2,         5
        5.209 ,         2,         1
        5.214 ,         1,         2
        5.220 ,         1,         3
        5.225 ,         0,         2
        5.231 ,         0,         2
        5.236 ,        -0,        -0
        5.242 ,        -0,        -1
        5.247 ,        -0,         1
        5.253 ,        -2,         1
        5.258 ,         0,         1
        5.264 ,         0,         1
        5.269 ,         0,        -1
